Transformation,Model,Adj R2 (Train),Adj R2 (Test),F Statistic,Durbin Watson,Jarque Bera,Anderson Darling (Train),Anderson Darling (Test),White's (Train),AIC,BIC
x^-2,OLS,0.7417656090520064,0.7255880967226882,1.963529503140764e-235,1.9699726767037355,0.0,0.0,5.126165468530531e-23,4.678620444266641e-12,-36762.94207302805,-36525.7552930929
x^-3/2,OLS,0.7906228766835716,0.7753019465423476,3.433683724246922e-275,1.9513103562446878,0.0,0.0,8.269233131045701e-11,5.57834588633761e-14,-28119.679232195227,-27882.49245226008
x^-1,OLS,0.826766820080019,0.8006305394437352,3.12598124582e-311,1.9358344916984795,1.730450878372244e-111,2.7783142634315504e-25,0.0012857428444339792,7.867744788686253e-14,-19511.010540356514,-19273.82376042137
x^-1/2,OLS,0.8442861853981495,0.7995393136826239,0.0,1.940326713278046,3.537941805566476e-07,6.719411195072021e-05,0.09833740430047766,8.623409979727272e-10,-11166.644426231587,-10929.457646296441
x^-1/3,OLS,0.8452999687464381,0.7927638167532554,0.0,1.9478140708952383,0.013344333231526681,0.025924233943407995,0.17378923643775915,3.212725459592757e-08,-8636.6786002969,-8399.491820361754
x^-1/4,OLS,0.8448608884456054,0.7880542213606985,0.0,1.952485897855921,0.05553312296451867,0.12007595045392623,0.2058198693983736,1.1872922408985432e-07,-7515.610383489304,-7278.423603554158
x^-1/5,OLS,0.8442923283140322,0.7847838238184239,0.0,1.9555270460834568,0.05662042073657419,0.20083871022677394,0.21848037358009506,2.0703319494797097e-07,-6932.6547077330615,-6695.467927797916
ln(x),OLS,0.839717178719478,0.7681527733805551,0.0,1.9688850923997765,6.169489283883228e-05,0.08403681011099821,0.11752386028866653,2.86915290434173e-07,113.86923259605442,351.0560125312001
x^0.09,OLS,0.8362651255528682,0.7581720171121313,5.7e-322,1.9755095250836197,4.466440046531493e-09,0.013717107737826712,0.05187497547661242,1.2361365404227166e-07,-2367.5759103711443,-2130.3891304359986
x^1/5,OLS,0.8314342059291177,0.7453119851376263,1.96302153e-316,1.9828237454013307,8.726779353659992e-18,0.0006587351571899057,0.013489521555800191,2.6536818618594917e-08,1197.434587462961,1434.6213673981067
x^1/4,OLS,0.8287781037200144,0.7385415427493084,1.8659825565e-313,1.986204033588689,3.062060084451234e-24,0.00010376550350006554,0.006068558122772418,1.0748641405598417e-08,2646.552436791405,2883.7392167265507
x^1/3,OLS,0.8238244245002044,0.726253539274333,5.035421487845449e-308,1.9916359524742342,5.66567772685371e-40,3.0324507560430406e-06,0.0012468551832883325,1.9857317281626263e-09,4911.624950690344,5148.81173062549
x^1/2,OLS,0.8119081383165911,0.6977113123787757,1.4384078841150357e-295,2.0014577039512558,1.2969231559828253e-102,2.1151557728817154e-10,1.7834688161532552e-05,4.563061770633078e-11,9150.955462320337,9388.142242255482
x^1,OLS,0.7591135580455863,0.5772074333911859,1.3440048423843939e-248,2.019541552304991,0.0,0.0,4.492398152592996e-14,1.2094702234966195e-15,21090.993499863842,21328.180279798988
x^3/2,OLS,0.6790396102339354,0.4025643664406915,2.0485394886993236e-194,2.0207580035309185,0.0,0.0,1.4852600574931357e-25,2.7200883688244297e-18,32761.485238611906,32998.67201854705
x^2,OLS,0.5766037205559533,0.1801284058783157,1.2724663619602722e-142,2.012026629636767,0.0,0.0,0.0,2.3931797742503153e-19,44433.88885599973,44671.075635934874
ln^-2(x),OLS,0.8448276865641587,0.7897250235886513,0.0,1.949796879478321,0.03267666150163299,0.06806707657174044,0.19015239908322737,5.9115344286460085e-08,-11910.044964172721,-11672.858184237575
ln^-3/2(x),OLS,0.8444832404558672,0.7868773156864752,0.0,1.9526933106786124,0.05028126574409564,0.13409484421608686,0.20691084793633197,1.1689838484059426e-07,-10235.944444815897,-9998.757664880752
ln^-1(x),OLS,0.8439333622630696,0.783736533347507,0.0,1.9557370479854104,0.04457598633298349,0.20581645722456213,0.21549907837362578,1.960942375792507e-07,-8778.875367149516,-8541.68858721437
ln^-1/2(x),OLS,0.8431798617509348,0.7802984198052748,0.0,1.9589033897645522,0.023036616390047653,0.234546724000445,0.21025243960874912,2.7721181505234224e-07,-7856.576595060069,-7619.389815124923
ln^-1/3(x),OLS,0.8428837753317887,0.7790855251034315,0.0,1.959981721329244,0.016300093933646956,0.2306630225486089,0.20289500571929298,2.994490322890488e-07,-7874.597300977623,-7637.410521042477
ln^-1/4(x),OLS,0.8427273506315265,0.778466443587413,0.0,1.960524648174384,0.013372366174367746,0.22569041986652338,0.19786001111666485,3.0902018622048504e-07,-8042.331937279394,-7805.145157344248
ln^-1/5(x),OLS,0.8426308190476998,0.7780909388152477,0.0,1.9608515399305102,0.011777081434179071,0.22195983874734745,0.1948608197904004,3.1419629772860764e-07,-8237.429955845339,-8000.243175910193
ln(ln(x)),OLS,0.8422246615611655,0.7765583914021719,0.0,1.962167059096461,0.006645068907450047,0.20501140041952867,0.18141687869923273,3.3016523052927357e-07,-4338.745858132397,-4101.559078197251
ln^0.09(x),OLS,0.8420214641737886,0.7758166130473406,0.0,1.9627932420544618,0.004884429817189427,0.19462934804506765,0.17430752645424497,3.3486275206524044e-07,-8328.30262509539,-8091.115845160244
ln^1/5(x),OLS,0.8417865510638468,0.7749767588716817,0.0,1.9634940835385988,0.0033646819880545817,0.18139556933207,0.16738630694254242,3.378166981836796e-07,-6458.859894983911,-6221.673115048765
ln^1/4(x),OLS,0.8416720459743793,0.7745736432095409,0.0,1.9638274475940236,0.002787931964555072,0.1749306900051448,0.16413066778677257,3.3836436221314696e-07,-5819.119982641891,-5581.933202706745
ln^1/3(x),OLS,0.8414767897808804,0.7738949072793735,0.0,1.9643843592283121,0.002004277039925848,0.16390790393393645,0.15863124358651515,3.380573309588456e-07,-4910.316484493775,-4673.129704558629
ln^1/2(x),OLS,0.8410697574050865,0.7725115619323979,0.0,1.9655026580390669,0.0009706801085529835,0.1401059047759803,0.147959193396946,3.329635921223591e-07,-3410.163035338476,-3172.9762554033305
ln^3/2(x),OLS,0.8381689504016584,0.7634766329218181,5e-324,1.9722899554547932,1.384722677990665e-06,0.03834425966174899,0.08547794025389441,2.1380345091096397e-07,3102.967623061886,3340.154402997032
ln^2(x),OLS,0.8364270562258588,0.7584775559411083,3.66e-322,1.9756938620249478,8.372661210707073e-09,0.014915851982024915,0.05398737833403036,1.3970489015778386e-07,5874.792842836677,6111.9796227718225
