Transformation,Best Alpha,Best L1
x^-2,10.0,0.0999999999999999
x^-3/2,10.0,0.0999999999999999
x^-1,10.0,0.0999999999999999
x^-1/2,10.0,0.0999999999999999
x^-1/3,0.001,0.0999999999999999
x^-1/4,0.001,0.0999999999999999
x^-1/5,0.001,0.0999999999999999
ln(x),0.001,0.0999999999999999
x^0.09,0.001,0.0999999999999999
x^1/5,0.001,0.0999999999999999
x^1/4,0.001,0.0999999999999999
x^1/3,0.002,0.6913
x^1/2,0.004,0.6913
x^1,0.005,0.6203125
x^3/2,0.005,0.4472875
x^2,0.005,0.2283625000000001
ln^-2(x),10.0,0.0999999999999999
ln^-3/2(x),10.0,0.0999999999999999
ln^-1(x),0.001,0.0999999999999999
ln^-1/2(x),0.001,0.0999999999999999
ln^-1/3(x),0.001,0.0999999999999999
ln^-1/4(x),0.001,0.0999999999999999
ln^-1/5(x),0.001,0.0999999999999999
ln(ln(x)),0.001,0.0999999999999999
ln^0.09(x),0.001,0.0999999999999999
ln^1/5(x),0.001,0.0999999999999999
ln^1/4(x),0.001,0.0999999999999999
ln^1/3(x),0.001,0.0999999999999999
ln^1/2(x),0.001,0.0999999999999999
ln^3/2(x),0.001,0.0999999999999999
ln^2(x),0.002,0.5391999999999999
